Name,Fifa,Fifa Ability Overall,Liga,Position,Player,Apps,Minutes played,Assists,Yel,Red,Pass success percentage,Aerials Won per game,Man of the match,Rating,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage.1,Crosses,Long balls per game,Through balls per game
Vladimír Darida,V. Darida,78,BuLi,"M(C), FW","Vladimír Darida Hertha Berlin, 29, M(C),FW ",3(7),373,1,1,-,86.5,0.2,-,6.32,0.8,0.8,1.4,-,0.5,0.1,-,-,-,0.9,0.4,0.6,-,0.4,0.8,0.7,22.9,86.5,0.3,1.2,-
Felix Götze,F. Götze,65,BuLi,Midfielder,"Felix Götze Augsburg, 21, Midfielder ",0(6),122,-,-,-,75,0.3,-,6.32,0.7,0.5,0.2,-,1.2,-,-,-,1,0.3,-,0.2,-,0.3,0.2,-,5.3,75,-,0.2,-
Felix Uduokhai,F. Uduokhai,76,BuLi,D(C),"Felix Uduokhai Wolfsburg, 21, D(C) ",2(9),238,-,2,-,84.2,0.7,-,6.32,1.2,0.5,0.7,-,0.7,0.1,0.2,-,-,0.1,0.3,0.5,-,0.1,0.5,-,10.9,84.2,-,1.1,-
Fabian Johnson,F. Johnson,77,BuLi,"D(LR), M(CLR)","Fabian Johnson Borussia M.Gladbach, 31, D(LR),M(CLR) ",11(7),1010,-,1,-,80.1,0.6,-,6.32,0.7,0.6,0.2,0.1,0.7,0.1,0.2,-,1,0.2,0.1,0.8,0.2,0.4,0.7,0.2,27.9,80.1,0.1,0.6,-
Jean-Kévin Augustin,J. Augustin,77,BuLi,"AM(R), FW","Jean-Kévin Augustin RasenBallsport Leipzig, 22, AM(R),FW ",4(13),452,-,-,-,79.1,0.1,-,6.32,0.1,0.2,0.6,-,-,0.1,-,-,3,0.8,0.5,0.9,0.3,0.9,1.2,0.5,5.1,79.1,0.1,-,-
Jetro Willems,J. Willems,76,BuLi,"D(L), DMC, M(L)","Jetro Willems Eintracht Frankfurt, 25, D(L),DMC,M(L) ",7(16),720,1,2,1,71,0.4,-,6.31,0.9,0.4,0.3,-,0.4,0.3,0.2,-,-,0.2,0.3,0.3,-,0.7,0.5,0.9,11.3,71,0.6,0.7,-
Derrick Luckassen,D. Luckassen,73,BuLi,"D(CR), DMC","Derrick Luckassen Hertha Berlin, 24, D(CR),DMC ",2(2),248,-,-,-,89.7,1.3,-,6.31,1,-,-,0.5,3.3,0.5,-,-,-,-,0.5,1,0.3,-,0.5,-,46.3,89.7,-,3,-
Federico Palacios,F. Palacios Martínez,65,BuLi,FW,"Federico Palacios Nuernberg, 24, FW ",9(8),941,-,1,-,81.7,0.5,-,6.31,1.2,0.5,0.5,-,0.1,0.6,-,-,2,0.4,0.6,0.5,0.2,1.3,1.2,0.4,17.4,81.7,-,0.3,0.1
Yuya Kubo,Y. Kubo,74,BuLi,"AM(CLR), FW","Yuya Kubo Nuernberg, 25, AM(CLR),FW ",15(7),1363,-,2,-,73.4,0.5,-,6.31,1,0.5,1,-,0.1,1,-,-,1,1.3,0.5,1,0.2,1.3,2,0.5,17.8,73.4,0.1,1,-
Gregor Kobel,G. Kobel,66,BuLi,GK,"Gregor Kobel Augsburg, 21, GK ",16,1390,-,-,-,66.4,0.1,1,6.3,0.1,0.1,-,-,0.6,-,-,-,-,-,0.1,0.1,-,-,-,-,28.4,66.4,-,5.4,-
Allan Souza,Allan,83,BuLi,DMC,"Allan Souza Eintracht Frankfurt, 22, DMC ",2(2),175,-,1,-,68.9,0.3,-,6.3,1,-,1.3,-,0.3,1,0.5,-,-,0.5,0.3,1.3,-,0.3,0.8,0.3,15.3,68.9,-,1.3,-
Isaac Thelin,I. Kiese Thelin,72,BuLi,FW,"Isaac Thelin Bayer Leverkusen, 27, FW ",1(5),175,-,1,-,57.9,2.5,-,6.29,0.3,-,0.8,-,0.7,0.2,-,-,-,0.8,0.2,-,-,0.7,1.3,0.2,6.3,57.9,-,-,-
Sergio Córdova,S. Córdova,67,BuLi,FW,"Sergio Córdova Augsburg, 22, FW ",3(17),516,-,1,-,75,1,-,6.29,0.5,0.2,0.8,-,0.3,0.2,-,-,3,0.7,0.5,1,0.2,1,1.3,0.2,5.8,75,-,0.2,-
Georg Teigl,G. Teigl,68,BuLi,"D(R), M(R)","Georg Teigl Augsburg, 28, D(R),M(R) ",2(4),292,-,-,-,57.1,0.2,-,6.29,0.8,1.2,0.3,0.2,0.7,-,-,-,-,0.2,0.3,0.5,0.3,0.5,0.7,0.3,10.5,57.1,-,0.2,-
Chima Okoroji,C. Okoroji,58,BuLi,D(L),"Chima Okoroji Freiburg, 22, D(L) ",1(1),104,-,-,-,65,0.5,-,6.29,1.5,0.5,1,-,0.5,-,-,-,-,-,0.5,0.5,-,2,1,-,10,65,-,0.5,-
László Bénes,L. Bénes,69,BuLi,M(C),"László Bénes Borussia M.Gladbach, 21, M(C) ",0(1),26,-,-,-,57.1,-,-,6.28,3,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,14,57.1,-,1,-
Lucas Höler,L. Höler,72,BuLi,"AM(CLR), FW","Lucas Höler Freiburg, 25, AM(CLR),FW ",11(15),1004,-,-,-,67.6,0.6,-,6.27,0.7,0.1,0.7,-,0.5,0.5,-,-,4,1,0.3,1,0.2,1,1.3,0.3,9.5,67.6,0.1,0.1,-
Nicolai Müller,N. Müller,77,BuLi,"M(CLR), FW","Nicolai Müller Eintracht Frankfurt, 31, M(CLR),FW ",3(4),216,-,1,-,70.7,-,-,6.27,0.6,-,0.6,-,-,0.1,0.1,-,2,0.4,-,0.3,0.1,0.6,0.4,0.1,5.9,70.7,0.3,0.4,-
Jeffrey Bruma,J. Bruma,75,BuLi,D(C),"Jeffrey Bruma Schalke 04, 27, D(C) ",7(2),623,-,4,-,79.8,2.2,-,6.26,1.3,0.4,1,0.2,3.8,0.7,0.2,1,-,0.2,0.2,0.2,-,-,0.2,-,35.2,79.8,-,4,-
Timothy Chandler,T. Chandler,77,BuLi,"D(R), M(LR)","Timothy Chandler Eintracht Frankfurt, 29, D(R),M(LR) ",0(1),16,-,-,-,100,1,-,6.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,100,1,1,-
Peter Pekarík,P. Pekarík,75,BuLi,D(LR),"Peter Pekarík Hertha Berlin, 32, D(LR) ",2(1),216,-,-,-,74.5,1.3,-,6.26,0.7,0.3,-,-,1.7,0.7,0.3,-,-,0.3,0.3,-,-,-,0.3,0.3,35.3,74.5,0.7,2.3,-
Taleb Tawatha,T. Tawatha,70,BuLi,"D(L), M(L)","Taleb Tawatha Eintracht Frankfurt, 27, D(L),M(L) ",1(2),125,-,-,-,70.3,0.7,-,6.25,0.3,-,0.3,-,0.3,0.3,-,-,-,-,0.7,0.7,-,0.3,1,-,12.3,70.3,-,1.3,-
Issah Abass,I. Abass,64,BuLi,Forward,"Issah Abass Mainz 05, 20, Forward ",0(1),8,-,-,-,50,-,-,6.25,-,-,-,-,-,-,-,-,-,1,1,1,-,-,1,-,2,50,-,-,-
Tim Kleindienst,T. Kleindienst,71,BuLi,FW,"Tim Kleindienst Freiburg, 24, FW ",2(2),199,-,-,-,72.4,1.8,-,6.24,1,-,2,-,1.8,0.5,-,-,-,1.3,0.8,0.3,0.8,0.8,1.8,0.3,14.5,72.4,-,0.3,-
Joshua Sargent,J. Sargent,64,BuLi,Forward,"Joshua Sargent Werder Bremen, 19, Forward ",1(9),206,-,1,-,77,0.3,-,6.24,0.2,-,0.6,-,0.3,-,-,-,2,0.4,0.2,0.6,0.1,0.4,1.4,0.2,6.1,77,-,0.2,-
Alphonso Davies,A. Davies,60,BuLi,AM(LR),"Alphonso Davies Bayern Munich, 18, AM(LR) ",0(6),74,-,1,-,87.1,0.2,-,6.24,0.2,0.3,0.2,-,-,-,-,-,1,0.3,0.5,-,-,0.3,0.2,-,5.2,87.1,-,-,-
Aymen Barkok,A. Barkok,69,BuLi,AM(C),"Aymen Barkok Fortuna Duesseldorf, 21, AM(C) ",4(8),507,-,-,-,75.9,1,-,6.23,1.1,0.3,0.8,-,0.3,1.3,0.1,-,-,0.4,0.6,-,-,0.8,0.8,0.3,18,75.9,0.4,1.3,-
Paul Verhaegh,P. Verhaegh,74,BuLi,"D(R), M(R)","Paul Verhaegh Wolfsburg, 36, D(R),M(R) ",2,180,-,-,-,81.5,0.5,-,6.23,0.5,0.5,0.5,-,3,0.5,-,-,-,-,-,-,-,1,-,0.5,46,81.5,-,1,-
Shinji Kagawa,S. Kagawa,81,BuLi,M(CL),"Shinji Kagawa Borussia Dortmund, 30, M(CL) ",1(1),98,-,-,-,89,-,-,6.22,-,-,0.5,-,-,-,-,-,-,2,-,-,-,1,0.5,-,36.5,89,-,1,-
Chadrac Akolo,C. Akolo,73,BuLi,AM(CR),"Chadrac Akolo VfB Stuttgart, 24, AM(CR) ",5(11),523,1,-,-,76.5,0.4,-,6.22,0.6,0.3,0.5,-,-,0.1,-,-,-,0.9,0.4,0.9,0.1,0.7,1,0.4,9.6,76.5,0.1,0.1,-
Aron Jóhannsson,A. Jóhannsson,72,BuLi,FW,"Aron Jóhannsson Werder Bremen, 28, FW ",0(1),3,-,-,-,-,-,-,6.21,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-
Kevin Akpoguma,K. Akpoguma,75,BuLi,D(C),"Kevin Akpoguma Hannover 96, 24, D(C) ",4,314,-,2,-,78.7,1.5,-,6.2,2.5,2.5,1,0.5,1.8,0.3,0.5,-,-,-,0.5,0.5,-,0.5,0.5,-,42.3,78.7,-,2.3,-
Erik Thommy,E. Thommy,75,BuLi,AM(CLR),"Erik Thommy VfB Stuttgart, 25, AM(CLR) ",6(13),793,1,2,1,79.4,0.4,-,6.19,0.3,0.7,0.4,-,0.1,0.3,0.1,-,1,1.3,0.4,0.9,0.3,0.9,1.3,0.9,14.1,79.4,0.6,0.5,0.1
Josip Elez,J. Elez,73,BuLi,D(C),"Josip Elez Hannover 96, 25, D(C) ",7(3),647,-,1,-,78.1,1,-,6.19,0.8,0.6,0.6,0.6,2.7,0.9,0.4,-,-,0.3,0.3,0.2,-,0.4,0.3,0.2,30.6,78.1,-,1.9,-
Marc Stendera,M. Stendera,74,BuLi,M(C),"Marc Stendera Eintracht Frankfurt, 23, M(C) ",0(7),107,-,-,-,83.5,-,-,6.18,0.9,-,0.3,-,-,0.3,0.1,-,-,-,-,-,-,-,0.1,0.1,13.9,83.5,-,0.7,-
Törles Knöll,T. Knöll,64,BuLi,Forward,"Törles Knöll Nuernberg, 21, Forward ",2(14),359,-,-,-,61.9,0.8,-,6.17,0.2,-,0.7,-,0.1,0.3,0.1,-,1,0.4,0.3,0.1,0.1,0.3,1,0.1,5.3,61.9,0.1,0.1,-
David Otto,D. Otto,62,BuLi,Forward,"David Otto Hoffenheim, 20, Forward ",0(3),25,-,-,-,54.5,-,-,6.16,0.7,-,-,-,-,0.3,-,-,-,-,-,-,-,0.7,0.7,0.7,3.7,54.5,-,-,0.3
Reece Oxford,R. Oxford,67,BuLi,D(C),"Reece Oxford Augsburg, 20, D(C) ",6(2),505,1,-,1,81.2,2,-,6.16,1.5,1.4,0.5,0.6,4.5,0.3,1.1,-,-,0.5,-,0.1,-,0.1,0.3,0.3,37.3,81.2,-,4,-
Yvon Mvogo,Y. Mvogo,75,BuLi,GK,"Yvon Mvogo RasenBallsport Leipzig, 25, GK ",1(1),135,-,-,-,77.8,-,-,6.15,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,-,-,13.5,77.8,-,2.5,-
Alfons Amade,A. Amade,58,BuLi,Defender,"Alfons Amade Hoffenheim, 19, Defender ",0(1),8,-,-,-,50,1,-,6.15,1,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,2,50,-,-,-
Fredrik Jensen,F. Jensen,71,BuLi,AM(C),"Fredrik Jensen Augsburg, 21, AM(C) ",2(4),206,-,-,-,57.7,0.8,-,6.14,0.8,0.3,0.7,-,0.5,0.3,-,-,-,0.3,0.3,-,-,0.7,0.8,0.3,8.7,57.7,-,0.3,-
Fabian Bredlow,F. Bredlow,69,BuLi,GK,"Fabian Bredlow Nuernberg, 24, GK ",13(1),1127,-,1,-,69.2,0.1,-,6.14,0.1,0.1,-,-,0.6,-,-,-,-,-,-,0.2,-,-,-,-,30.4,69.2,-,4.8,-
Patrick Kammerbauer,P. Kammerbauer,67,BuLi,"D(R), DMC","Patrick Kammerbauer Freiburg, 22, D(R),DMC ",0(1),1,-,-,-,66.7,-,-,6.13,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,66.7,1,-,-
Julian Schieber,J. Schieber,73,BuLi,FW,"Julian Schieber Augsburg, 30, FW ",3(6),258,-,1,-,72.7,0.9,-,6.12,0.3,0.1,0.1,-,0.3,0.1,-,-,1,0.4,0.2,0.1,0.2,0.7,1.6,0.1,8.6,72.7,-,0.1,-
Haji Wright,H. Wright,64,BuLi,FW,"Haji Wright Schalke 04, 21, FW ",2(5),196,-,-,-,66.7,0.6,-,6.1,0.4,-,0.3,-,-,0.1,-,-,1,0.4,0.4,0.1,0.6,1,1.9,0.1,4.3,66.7,-,-,-
Emile Smith Rowe,E. Smith Rowe,64,BuLi,Midfielder,"Emile Smith Rowe RasenBallsport Leipzig, 19, Midfielder ",0(3),28,-,-,-,77.8,-,-,6.1,0.3,0.3,-,-,-,-,-,-,-,-,0.3,0.3,-,-,-,0.3,6,77.8,-,0.3,-
Simon Rhein,S. Rhein,62,BuLi,M(C),"Simon Rhein Nuernberg, 21, M(C) ",7(1),497,-,1,1,85.2,0.8,-,6.1,0.9,0.9,0.6,-,0.6,0.6,0.1,-,-,0.1,0.6,0.3,-,0.6,0.6,0.1,35.5,85.2,-,1.8,-
Noah Joel Sarenren Bazee,N. Sarenren Bazee,70,BuLi,AM(R),"Noah Joel Sarenren Bazee Hannover 96, 23, AM(R) ",3,161,-,-,-,43.8,-,-,6.09,-,-,0.7,-,1,-,-,-,-,1.7,0.7,0.7,0.7,0.7,3,-,5.3,43.8,-,-,-
Pascal Köpke,P. Köpke,71,BuLi,"AM(CR), FW","Pascal Köpke Hertha Berlin, 24, AM(CR),FW ",0(7),66,-,-,-,78.6,-,-,6.08,0.1,-,0.1,-,-,0.1,-,-,-,0.6,0.1,0.1,-,0.9,0.4,-,4,78.6,0.1,0.3,-
Paulinho,Paulinho,71,BuLi,AM(LR),"Paulinho Bayer Leverkusen, 19, AM(LR) ",0(15),168,-,-,-,83.3,0.2,-,6.08,0.3,0.1,0.1,-,-,0.1,-,-,-,0.4,0.6,0.1,0.1,0.1,0.6,0.1,6,83.3,0.1,0.1,-
Timothy Tillman,T. Tillman,60,BuLi,Midfielder,"Timothy Tillman Nuernberg, 20, Midfielder ",1(5),204,-,-,-,74.1,0.5,-,6.07,-,0.5,0.5,-,-,0.7,-,-,-,0.5,1.2,1.2,-,0.2,1.2,0.5,9,74.1,-,0.2,0.2
Berkay Özcan,B. Özcan,71,BuLi,M(CL),"Berkay Özcan VfB Stuttgart, 21, M(CL) ",0(3),50,-,-,-,87.1,-,-,6.07,-,-,-,-,-,-,-,-,-,-,0.3,0.7,-,0.7,-,-,10.3,87.1,-,1,-
Fin Bartels,F. Bartels,76,BuLi,"M(CLR), FW","Fin Bartels Werder Bremen, 32, M(CLR),FW ",0(2),22,-,-,-,50,0.5,-,6.05,-,0.5,0.5,-,-,0.5,-,-,-,-,-,0.5,-,0.5,0.5,-,3,50,-,1,-
Antonis Aidonis,A. Aidonis,62,BuLi,Defender,"Antonis Aidonis VfB Stuttgart, 18, Defender ",1(1),81,-,1,-,38.1,1,-,6.05,1.5,1,0.5,-,1,1.5,-,-,-,-,-,-,-,-,0.5,-,10.5,38.1,0.5,0.5,-
Yoric Ravet,Y. Ravet,75,BuLi,M(R),"Yoric Ravet Freiburg, 29, M(R) ",0(4),73,-,-,-,75,0.3,-,6.04,0.5,-,0.5,-,0.3,0.3,0.3,-,-,0.3,0.3,-,-,-,1.8,0.3,6,75,-,0.3,-
Luca Plogmann,L. Plogmann,60,BuLi,Goalkeeper,"Luca Plogmann Werder Bremen, 19, Goalkeeper ",0(1),37,-,-,-,100,-,-,6.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,100,-,2,-
Sascha Riether,S. Riether,69,BuLi,D(R),"Sascha Riether Schalke 04, 36, D(R) ",0(1),1,-,-,-,100,-,-,6.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,100,-,-,-
Palko Dárdai,P. Dárdai,62,BuLi,Forward,"Palko Dárdai Hertha Berlin, 20, Forward ",1(6),108,-,-,-,70,0.1,-,6.01,0.1,-,0.4,-,-,-,-,-,-,0.1,-,0.1,-,0.6,0.9,0.3,5.7,70,0.3,0.4,-
Jozo Stanic,J. Stanic,59,BuLi,Defender,"Jozo Stanic Augsburg, 20, Defender ",0(1),2,-,-,-,100,-,-,6.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,100,-,-,-
Simon Asta,S. Asta,60,BuLi,Defender,"Simon Asta Augsburg, 18, Defender ",1,90,-,1,-,48.4,2,-,6.01,6,3,1,-,-,-,1,-,-,2,1,-,-,-,-,-,31,48.4,1,-,-
Edgar Salli,E. Salli,69,BuLi,AM(LR),"Edgar Salli Nuernberg, 27, AM(LR) ",1(2),115,-,1,-,100,-,-,6.01,0.7,0.3,1.3,-,0.3,0.3,-,-,-,0.3,-,0.7,0.3,1.3,1,0.3,6.3,100,-,-,-
Florian Baak,F. Baak,62,BuLi,Defender,"Florian Baak Hertha Berlin, 20, Defender ",0(1),1,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Meritan Shabani,M. Shabani,62,BuLi,Midfielder,"Meritan Shabani Bayern Munich, 20, Midfielder ",0(1),1,-,-,-,66.7,1,-,6.0,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,66.7,-,-,-
Dennis Jastrzembski,D. Jastrzembski,66,BuLi,Forward,"Dennis Jastrzembski Hertha Berlin, 19, Forward ",0(5),58,-,1,-,73.3,-,-,5.99,-,0.2,0.8,-,-,0.6,-,-,-,0.2,0.2,0.2,-,0.2,0.2,0.2,3,73.3,-,-,-
Davor Lovren,D. Lovren,64,BuLi,Midfielder,"Davor Lovren Fortuna Duesseldorf, 20, Midfielder ",0(2),44,-,-,-,75,0.5,-,5.99,0.5,-,-,-,-,-,-,-,-,0.5,-,0.5,-,0.5,1,-,8,75,-,-,-
Jakub Blaszczykowski,J. Błaszczykowski,74,BuLi,"D(R), M(CR)","Jakub Blaszczykowski Wolfsburg, 33, D(R),M(CR) ",0(1),12,-,-,-,100,1,-,5.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,100,-,-,-
Cedric Teuchert,C. Teuchert,68,BuLi,FW,"Cedric Teuchert Schalke 04, 22, FW ",2(3),160,-,-,-,60,-,-,5.99,-,0.2,0.4,-,-,-,-,-,-,0.2,0.2,0.4,1.2,0.4,2,0.2,3,60,-,-,-
Branimir Hrgota,B. Hrgota,72,BuLi,"AM(L), FW","Branimir Hrgota Eintracht Frankfurt, 26, AM(L),FW ",0(1),4,-,-,-,100,-,-,5.97,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,100,-,-,-
Christoph Baumgartner,C. Baumgartner,60,BuLi,Midfielder,"Christoph Baumgartner Hoffenheim, 20, Midfielder ",1(1),86,-,1,1,62.9,0.5,-,5.97,0.5,-,1,-,-,1,-,-,-,1,2.5,1.5,-,0.5,1.5,-,17.5,62.9,-,-,-
Fabian Giefer,F. Giefer,70,BuLi,GK,"Fabian Giefer Augsburg, 29, GK ",4,360,-,-,-,65.3,0.3,-,5.97,-,-,-,-,0.8,0.5,-,-,-,-,-,0.3,-,-,0.3,0.3,25.3,65.3,-,7.5,-
Leon Dajaku,L. Dajaku,62,BuLi,Forward,"Leon Dajaku VfB Stuttgart, 18, Forward ",0(2),26,-,-,-,83.3,-,-,5.97,1,-,-,-,-,-,-,-,-,-,-,0.5,-,0.5,1,-,3,83.3,-,-,-
Takuma Asano,T. Asano,70,BuLi,"AM(CLR), FW","Takuma Asano Hannover 96, 24, AM(CLR),FW ",9(4),702,-,-,-,72.2,0.4,-,5.96,0.4,0.2,0.4,-,0.2,0.4,-,-,-,1,0.5,1.1,0.4,1.2,2.2,0.2,11.6,72.2,-,0.2,-
Christoph Janker,C. Janker,70,BuLi,D(C),"Christoph Janker Augsburg, 34, D(C) ",1(3),71,-,-,-,85.7,0.3,-,5.93,0.5,-,0.8,-,0.3,-,-,-,-,-,-,0.3,-,0.3,-,-,7,85.7,-,-,-
Hans Nunoo Sarpei,H. Sarpei,59,BuLi,Midfielder,"Hans Nunoo Sarpei VfB Stuttgart, 21, Midfielder ",0(2),40,-,-,-,50,-,-,5.91,0.5,-,0.5,-,-,-,-,-,-,-,0.5,-,-,1,0.5,-,7,50,-,0.5,-
Thomas Kraft,T. Kraft,76,BuLi,GK,"Thomas Kraft Hertha Berlin, 31, GK ",3(1),315,-,-,-,62.9,-,-,5.88,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,-,-,29,62.9,-,11.3,-
Lukas Jäger,L. Jäger,65,BuLi,Midfielder,"Lukas Jäger Nuernberg, 25, Midfielder ",0(2),25,-,-,-,37.5,0.5,-,5.85,-,-,-,-,-,1,-,-,-,0.5,-,-,-,-,0.5,-,4,37.5,-,-,-
Jan-Ingwer Callsen-Bracker,J. Callsen-Bracker,71,BuLi,D(C),"Jan-Ingwer Callsen-Bracker Augsburg, 34, D(C) ",0(1),6,-,1,-,100,-,-,5.73,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,5,100,-,-,-
Philipp Tschauner,P. Tschauner,75,BuLi,GK,"Philipp Tschauner Hannover 96, 33, GK ",1,90,-,-,-,68,-,-,5.69,-,-,1,-,2,-,-,-,-,-,-,-,-,-,1,-,25,68,-,2,-
Lukas Rupp,L. Rupp,76,BuLi,M(CR),"Lukas Rupp Hoffenheim, 28, M(CR) ",0(1),24,-,-,-,54.5,-,-,5.66,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,11,54.5,-,-,-
Benjamin Henrichs,B. Henrichs,76,BuLi,"D(LR), M(R)","Benjamin Henrichs Bayer Leverkusen, 22, D(LR),M(R) ",1,64,-,1,-,81.8,-,-,5.49,-,3,3,-,-,-,-,-,-,-,-,1,-,1,1,-,33,81.8,1,1,-
Marwin Hitz,M. Hitz,79,BuLi,GK,"Marwin Hitz Borussia Dortmund, 31, GK ",2,180,-,1,-,77.6,0.5,-,5.46,-,-,0.5,-,1,-,-,-,-,-,-,0.5,-,-,-,-,29,77.6,-,4,-
Lionel Messi,L. Messi,94,LaLiga,"AM(CR), FW","Lionel Messi Barcelona, 32, AM(CR),FW ",29(5),2710,13,3,0,81.3,0.2,17,8.48,0.4,0.1,0.6,-,-,0.5,-,-,36,5,3.9,1.9,0.5,2.3,1.9,2.7,53.8,81.3,0.4,3.4,0.9
Luis Suárez,L. Suárez,91,LaLiga,"AM(CLR), FW","Luis Suárez Barcelona, 32, AM(CLR),FW ",31(2),2830,6,5,0,75.3,0.7,5,7.57,0.5,0.2,0.9,-,0.7,0.2,0.1,-,21,3.4,1.1,1.7,0.8,1.6,2.3,1.4,29,75.3,0.2,1.5,0.1
Iago Aspas,Iago Aspas,84,LaLiga,"AM(CR), FW","Iago Aspas Celta Vigo, 32, AM(CR),FW ",26(1),2262,6,5,0,82,0.9,6,7.51,0.6,0.6,0.6,-,0.2,0.6,-,-,20,2.6,0.7,1.6,0.3,1.3,1.1,2.1,32.1,82,0.2,1.4,0.2
Daniel Parejo,Parejo,85,LaLiga,M(C),"Daniel Parejo Valencia, 30, M(C) ",35(1),3063,7,6,1,85.8,0.9,9,7.4,2,1.3,0.8,-,0.6,1.6,0.2,-,9,1.2,1,1.5,-,0.6,0.9,2.3,61.5,85.8,1.9,5.6,0.1
Karim Benzema,K. Benzema,85,LaLiga,FW,"Karim Benzema Real Madrid, 31, FW ",35(1),2964,6,1,0,82.6,1.2,7,7.38,0.7,0.2,0.6,-,0.7,0.4,-,-,21,2.9,1.3,0.6,1,1.3,1.7,1.3,32.9,82.6,0.1,1.1,0.1
Carlos Isaac,Carlos Isaac,63,LaLiga,Defender,"Carlos Isaac Atletico Madrid, 21, Defender ",1,90,-,-,0,85.4,1,-,7.35,-,1,-,-,-,2,-,-,-,1,2,1,-,1,3,1,41,85.4,-,-,-
Antoine Griezmann,A. Griezmann,89,LaLiga,"AM(CLR), FW","Antoine Griezmann Atletico Madrid, 28, AM(CLR),FW ",37,3204,9,5,0,78.3,1.1,4,7.29,0.8,0.3,0.5,-,0.6,0.5,-,-,15,3.1,0.5,0.9,0.3,1.3,1.5,2,37.5,78.3,0.6,1.3,0.1
Ousmane Dembélé,O. Dembélé,83,LaLiga,AM(CLR),"Ousmane Dembélé Barcelona, 22, AM(CLR) ",20(9),1673,5,1,0,80.7,0.3,3,7.25,0.8,0.2,0.8,-,0.1,0.4,-,-,8,1.3,2.3,0.8,0.3,1.5,1.3,1.6,31.4,80.7,0.8,1,0.1
Rodrigo,Rodrigo,83,LaLiga,DMC,"Rodrigo Atletico Madrid, 23, DMC ",32(2),2743,1,5,0,91.1,2.3,3,7.24,3,1.2,1.7,-,2,1.1,0.3,-,3,0.8,0.6,1.3,-,0.9,0.6,0.5,56.7,91.1,-,3.4,-
Wissam Ben Yedder,W. Ben Yedder,82,LaLiga,"AM(C), FW","Wissam Ben Yedder Sevilla, 29, AM(C),FW ",31(4),2821,9,4,0,73.9,1.1,3,7.23,0.5,0.3,0.7,-,0.1,0.3,-,-,18,2.2,1.3,0.7,0.9,1.1,1.9,1.3,21.6,73.9,0.1,0.5,0.1
Gorka Iraizoz,Iraizoz,75,LaLiga,GK,"Gorka Iraizoz Girona, 38, GK ",6(1),558,-,-,0,60.4,0.4,1,7.21,0.1,0.1,-,-,1.4,-,-,-,-,-,0.1,-,-,-,-,-,26.7,60.4,-,8,-
Guillermo Maripán,G. Maripán,75,LaLiga,D(C),"Guillermo Maripán Deportivo Alaves, 25, D(C) ",22(1),2009,2,5,0,75.3,4.2,2,7.2,2,1.7,0.7,0.9,5.7,0.5,0.8,-,2,0.7,0.1,0.4,-,-,0.2,0.1,30.8,75.3,-,3.7,-
Gerard Piqué,Piqué,87,LaLiga,D(C),"Gerard Piqué Barcelona, 32, D(C) ",35,3150,2,6,0,91.4,3.4,-,7.18,1.2,1,0.7,0.4,4.2,0.4,0.8,-,4,0.5,0.3,0.6,0.1,0.3,0.5,0.2,68.3,91.4,-,4.3,-
Jaume Doménech,Jaume,76,LaLiga,GK,"Jaume Doménech Valencia, 28, GK ",4,360,-,-,0,56.2,0.8,-,7.18,-,-,-,-,0.5,0.3,-,-,-,-,-,-,-,-,-,-,18.3,56.2,-,7.5,-
Saúl Ñíguez,Saúl,85,LaLiga,"D(CL), M(CLR)","Saúl Ñíguez Atletico Madrid, 24, D(CL),M(CLR) ",32(1),2925,1,10,0,78.8,2.9,4,7.17,2.5,1.3,1.7,0.1,2.2,1.5,0.3,1,4,1.6,1,0.8,0.2,1,1.4,0.5,44.9,78.8,0.1,1.5,0.1
Raúl García,Raúl García,80,LaLiga,"M(CLR), FW","Raúl García Athletic Bilbao, 33, M(CLR),FW ",27(6),2379,3,13,0,55.7,5.8,6,7.17,1.8,0.6,3,-,1.1,1.4,-,-,9,2.5,0.4,1.8,0.3,0.9,1.5,0.8,27,55.7,0.1,0.8,0.1
