Name,Fifa,Fifa Ability Overall,Liga,Position,Player,Apps,Minutes played,Assists,Yel,Red,Pass success percentage,Aerials Won per game,Man of the match,Rating,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage.1,Crosses,Long balls per game,Through balls per game
Benjamin Corgnet,B. Corgnet,72,Ligue1,"M(CLR), FW","Benjamin Corgnet Strasbourg, 32, M(CLR),FW ",6(11),667,2,-,0,64.8,1.3,-,6.6,1.2,0.4,1,-,0.5,0.4,-,-,1,1.1,0.5,1.1,0.1,0.6,0.7,0.4,15.1,64.8,0.1,0.5,0.1
Thomas Fontaine,T. Fontaine,69,Ligue1,D(C),"Thomas Fontaine Reims, 28, D(C) ",4(3),417,1,1,0,85.6,1.4,-,6.6,0.9,1,0.9,0.3,4,0.4,0.3,-,-,-,0.1,0.4,-,0.1,0.4,0.3,28.9,85.6,-,3.7,0.1
Rene Krhin,R. Krhin,73,Ligue1,DMC,"Rene Krhin Nantes, 29, DMC ",12(4),1057,-,2,0,83.2,2.2,-,6.6,1.4,1.3,0.4,0.1,1.9,0.5,0.3,-,-,0.4,0.3,0.8,-,0.3,0.8,0.1,33.5,83.2,-,1.4,-
Fabio,Fábio,71,Ligue1,"D(LR), M(R)","Fabio Nantes, 29, D(LR),M(R) ",15(5),1287,2,4,1,76.3,1.1,-,6.6,2.7,0.9,0.9,-,1.2,1.4,0.2,-,-,0.2,0.4,1,0.1,0.3,0.5,0.8,24,76.3,0.6,1.1,-
Clement Depres,C. Depres,66,Ligue1,Forward,"Clement Depres Nimes, 24, Forward ",4(13),434,-,1,0,69.6,3.1,1,6.6,0.1,-,0.8,-,0.4,0.2,-,-,4,1.6,0.1,0.4,0.1,0.5,1.1,0.2,9.3,69.6,-,0.2,-
Andreas Cornelius,A. Cornelius,75,Ligue1,FW,"Andreas Cornelius Bordeaux, 26, FW ",6(14),783,1,4,0,65.7,3.7,-,6.6,0.2,0.1,2,-,1.1,0.2,0.1,-,3,1.1,0.3,0.9,0.4,1,1.5,0.5,11.8,65.7,-,0.3,0.1
Younousse Sankharé,Y. Sankharé,76,Ligue1,M(C),"Younousse Sankharé Bordeaux, 29, M(C) ",17(5),1482,3,6,0,76.4,0.9,1,6.59,1.1,0.4,1.6,-,0.2,0.6,-,-,1,0.8,1.3,1.6,0.2,0.9,1.3,0.8,28.5,76.4,-,0.3,-
Nicolas de Preville,Nicolas,69,Ligue1,"AM(CLR), FW","Nicolas de Preville Bordeaux, 28, AM(CLR),FW ",14(9),1270,2,5,0,74.5,1.3,-,6.59,1.2,0.4,1.8,-,0.8,0.9,-,-,3,1.4,1,1.5,0.2,1.3,2.5,1,18.4,74.5,0.5,1,-
Toma Basic,T. Bašić,68,Ligue1,AM(C),"Toma Basic Bordeaux, 22, AM(C) ",16(7),1336,-,3,0,82.4,1.3,1,6.59,1.4,0.4,1,-,1,0.9,-,-,2,0.9,0.8,1,-,0.8,1.2,0.9,24.7,82.4,0.5,2,-
Gabriel Silva,Gabriel Silva,73,Ligue1,"D(LR), M(L)","Gabriel Silva Saint-Etienne, 28, D(LR),M(L) ",16(3),1433,2,1,0,81.1,1.6,-,6.59,1,0.7,0.9,0.5,2.7,0.6,0.2,-,-,0.3,0.5,1.6,0.1,0.5,1.1,0.4,22.6,81.1,0.2,0.9,-
Lucas Tousart,L. Tousart,79,Ligue1,DMC,"Lucas Tousart Lyon, 22, DMC ",20(10),1729,-,1,2,87.3,1.2,-,6.59,2.5,0.9,0.9,-,0.7,1.1,0.4,1,-,0.8,0.3,0.6,-,0.4,0.7,0.3,32.6,87.3,-,1.2,0.1
Djibril Sidibé,D. Sidibé,79,Ligue1,"D(LR), M(R)","Djibril Sidibé Monaco, 27, D(LR),M(R) ",22(4),2072,2,5,0,74.7,1.2,-,6.58,1.9,1.2,1.5,0.2,1.9,0.8,0.3,-,-,0.7,0.3,1.2,0.3,0.8,1.7,1.2,41.6,74.7,0.8,1.2,-
Casimir Ninga,C. Ninga,73,Ligue1,"AM(LR), FW","Casimir Ninga Caen, 26, AM(LR),FW ",28(5),2476,3,9,0,76.4,0.9,1,6.58,1.6,0.7,1.9,-,0.3,0.9,-,-,6,1.6,1.6,1.1,0.5,2.6,3.8,0.8,14.2,76.4,0.2,0.4,0.1
Stefan Mitrovic,S. Mitrović,75,Ligue1,D(C),"Stefan Mitrovic Strasbourg, 29, D(C) ",34,3028,-,8,2,90.5,2,-,6.58,0.7,1.4,0.5,0.4,4.2,0.4,0.9,1,-,0.4,0.1,0.3,-,0.1,0.1,0.1,40.9,90.5,-,2.6,-
Edgar Ié,Edgar Ié,74,Ligue1,D(CR),"Edgar Ié Nantes, 25, D(CR) ",9,778,-,2,0,78.5,1.3,-,6.58,2.2,0.9,1.3,0.1,2.1,0.8,0.3,-,-,0.3,0.7,1,0.2,0.7,1,0.1,34.7,78.5,0.1,1.1,-
