Name,Name.1,Rating,Fifa Ability Overall,Position,Apps,Minutes played,Assists,Yel,Red,Aerials Won per game,Man of the match,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Long balls per game,Through balls per game,pos
Marco Russ,"Marco Russ Eintracht Frankfurt, 34, D(C),DMC ",6.61,73,"D(C), DMC",3,378,0,1,0,3.2,0,1.4,1.4,0.6,0.2,1.6,0.4,0.4,0,0,0.2,0.0,0.2,0.0,0.6,0.0,0.2,22.0,71.8,0.0,0.8,0.2,DEF
Niko Bungert,"Niko Bungert Mainz 05, 32, D(C) ",6.61,73,D(C),3,285,0,0,0,1.4,0,1.0,0.6,0.3,0.1,2.3,0.0,0.9,0,0,0.1,0.0,0.3,0.0,0.0,0.3,0.1,15.7,87.3,0.0,1.3,0.0,DEF
Kasim Adams,"Kasim Adams Hoffenheim, 24, D(C) ",6.6,73,D(C),11,906,1,4,1,2.3,0,1.5,1.8,1.7,0.7,3.2,1.0,0.4,0,0,0.2,0.5,0.2,0.0,0.3,0.8,0.1,40.9,80.3,0.0,3.2,0.0,DEF
Tim Leibold,"Tim Leibold Nuernberg, 25, D(L),M(CL) ",6.55,73,"D(L), M(CL)",32,2768,2,6,1,1.1,0,1.9,1.2,1.0,0.1,1.6,1.2,0.1,0,0,0.9,0.8,1.3,0.1,0.6,1.3,1.2,38.8,78.0,0.7,2.7,0.0,DEF
Gaëtan Bussmann,"Gaëtan Bussmann Mainz 05, 28, D(L) ",6.55,73,D(L),1,90,0,0,0,6.0,0,2.0,1.0,4.0,1.0,2.0,3.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,46.0,73.9,0.0,0.0,0.0,DEF
Mike Frantz,"Mike Frantz Freiburg, 32, M(CLR),FW ",6.54,73,"M(CLR), FW",29,2233,1,2,0,1.6,0,1.1,0.7,0.6,0.0,0.9,0.5,0.1,0,2,0.6,0.2,1.1,0.2,0.5,0.9,0.5,19.2,78.2,0.4,0.9,0.0,OFF
Steven Skrzybski,"Steven Skrzybski Schalke 04, 26, AM(CLR),FW ",6.52,73,"AM(CLR), FW",8,668,1,1,0,0.3,1,0.8,0.3,0.8,0.1,0.0,0.7,0.1,0,3,1.4,0.4,0.8,0.4,1.2,1.7,0.7,10.9,70.2,0.1,0.3,0.1,OFF
Oliver Sorg,"Oliver Sorg Hannover 96, 29, D(CLR),DMC,M(R) ",6.52,73,"D(CLR), DMC, M(R)",18,1583,0,5,1,0.5,0,2.2,2.4,0.6,0.2,2.3,1.2,0.5,0,0,0.2,0.5,1.5,0.0,0.2,0.5,0.3,38.3,75.5,0.3,3.5,0.0,DEF
Kevin Möhwald,"Kevin Möhwald Werder Bremen, 26, AM(CR) ",6.5,73,AM(CR),7,863,1,2,0,0.5,0,0.7,0.7,0.7,0.0,0.6,0.7,0.0,0,3,0.9,0.4,1.0,0.0,0.4,1.0,0.4,21.2,81.7,0.0,0.9,0.0,MID
Anastasios Donis,"Anastasios Donis VfB Stuttgart, 23, AM(CR),FW ",6.45,73,"AM(CR), FW",11,961,2,4,0,0.4,2,0.6,0.2,0.9,0.0,0.0,0.3,0.0,0,5,1.3,0.8,0.5,0.6,0.5,1.5,0.3,6.7,80.1,0.1,0.2,0.0,OFF
